SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500038,2025-11-07T00:00:00,OKC @ SAC,W,29.45,12,20,0.6,2,6,0.333,4,4,1.0,0,1,1,3,1,2,1,0,2,3,30,10,43.7,0,0,42.0,1,1,1,1,15,6,9,11,11,5,14,19,20,1,9,23,24,24,14,5,4,1,11,21,14,11,20,3,1,19,1,29:27,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500180,2025-11-05T00:00:00,OKC @ POR,L,37.54333333333334,10,26,0.385,3,5,0.6,12,13,0.923,2,7,9,4,0,0,0,0,5,6,35,1,51.8,0,0,51.0,1,25,25,25,3,13,2,25,3,10,8,5,5,9,1,3,1,21,23,23,13,1,25,12,6,22,12,3,1,11,1,37:33,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500170,2025-11-04T00:00:00,OKC @ LAC,W,29.05,9,14,0.643,4,5,0.8,8,9,0.889,0,4,4,12,2,0,3,0,2,3,30,2,59.8,1,0,56.0,1,1,1,1,18,17,19,7,2,10,5,12,13,11,9,9,12,1,8,23,1,1,11,21,14,20,4,1,1,3,1,29:03,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500148,2025-11-02T00:00:00,OKC vs. NOP,W,29.983333333333334,8,14,0.571,1,5,0.2,13,13,1.0,0,2,2,7,3,1,0,2,1,8,30,24,42.9,0,0,42.0,1,1,1,1,14,20,19,12,18,10,22,4,5,1,9,20,20,8,2,13,13,23,5,6,14,6,21,3,1,19,1,29:59,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500140,2025-10-30T00:00:00,OKC vs. WAS,W,29.033333333333335,11,20,0.55,3,6,0.5,6,6,1.0,0,3,3,7,0,0,1,1,1,6,31,8,48.1,0,0,46.0,1,1,1,1,19,11,9,15,3,5,11,17,18,1,9,15,17,8,23,23,4,15,5,12,11,15,16,3,1,16,1,29:02,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500126,2025-10-28T00:00:00,OKC vs. SAC,W,35.78333333333333,14,26,0.538,1,5,0.2,2,2,1.0,0,9,9,4,1,1,3,2,2,5,31,-1,58.8,0,0,53.0,1,1,1,1,6,2,2,16,18,10,22,22,22,1,9,1,1,21,14,13,1,23,11,17,11,24,5,3,1,8,1,35:47,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500119,2025-10-27T00:00:00,OKC @ DAL,W,35.46666666666667,10,22,0.455,1,3,0.333,2,2,1.0,0,4,4,8,4,1,0,1,0,3,23,7,38.8,0,0,38.0,1,1,1,1,10,13,6,24,18,17,14,22,22,1,9,9,12,4,1,13,13,15,1,21,21,18,22,3,1,22,1,35:28,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500101,2025-10-25T00:00:00,OKC @ ATL,W,28.733333333333334,12,17,0.706,2,6,0.333,4,4,1.0,1,4,5,5,2,1,1,0,2,5,30,16,47.5,0,0,46.0,1,1,1,1,21,6,17,5,11,5,14,19,20,1,4,9,7,15,8,13,4,1,11,17,14,8,17,3,1,16,1,28:44,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500005,2025-10-23T00:00:00,OKC @ IND,W,45.35,15,31,0.484,2,7,0.286,23,26,0.885,0,8,8,5,2,2,1,1,4,15,55,9,79.1,0,0,76.0,1,1,1,1,2,1,1,21,11,3,20,1,1,13,9,2,3,15,8,5,4,15,24,1,1,13,1,3,1,1,1,45:21,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500001,2025-10-21T00:00:00,OKC vs. HOU,W,47.21666666666667,12,26,0.462,1,9,0.111,10,14,0.714,0,5,5,5,3,2,2,2,2,10,35,3,57.5,0,0,54.0,1,1,1,1,1,6,2,23,18,1,24,6,4,22,9,7,7,15,2,5,3,23,11,3,6,19,7,3,1,7,1,47:13,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0012500067,2025-10-17T00:00:00,OKC vs. DEN,W,18.033333333333335,5,5,1.0,2,2,1.0,0,0,0.0,0,4,4,5,1,1,0,0,0,1,12,-1,26.3,0,0,25.0,1,1,1,1,25,24,25,1,11,23,1,24,24,24,9,9,12,15,14,13,13,1,1,24,25,24,25,3,1,25,1,18:02,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0012500058,2025-10-14T00:00:00,OKC @ MIL,W,19.39,8,10,0.8,1,3,0.333,6,8,0.75,0,2,2,6,2,3,1,0,2,7,23,8,44.4,0,0,40.0,1,1,1,1,24,20,22,2,18,17,14,17,16,21,9,20,20,12,8,1,4,1,11,10,21,15,19,3,1,21,1,19:23,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0012500042,2025-10-09T00:00:00,OKC vs. CHA,W,19.703333333333333,7,9,0.778,2,2,1.0,0,0,0.0,0,1,1,5,3,1,1,1,1,1,16,1,27.7,0,0,28.0,1,1,1,1,23,23,23,3,11,23,1,24,24,24,9,23,24,15,2,13,4,15,5,24,24,22,24,3,1,24,1,19:42,1
